2016-07-18 13:05:27,295 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2016-07-18 13:05:27,704 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2016-07-18 13:05:27,990 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) démarre
2016-07-18 13:05:28,056 INFO  [org.xnio] (MSC service thread 1-6) XNIO version 3.3.6.Final-redhat-1
2016-07-18 13:05:28,063 INFO  [org.xnio.nio] (MSC service thread 1-6) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2016-07-18 13:05:28,096 INFO  [org.jboss.remoting] (MSC service thread 1-6) JBoss Remoting version 4.0.18.Final-redhat-1
2016-07-18 13:05:29,278 WARN  [org.jboss.as.txn] (ServerService Thread Pool -- 58) WFLYTX0013: Propriété d'identificateur de noeud définie à la valeur par défaut. Veillez à ce que cette valeur soit bien unique.
2016-07-18 13:05:29,291 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 38) WFLYIO001: L'employé 'default' a configuré automatiquement les fils principaux 16 avec les fils de tâche 128 selon vos 8 processeurs disponibles
2016-07-18 13:05:29,291 INFO  [org.jboss.as.jsf] (ServerService Thread Pool -- 46) WFLYJSF0007: A activé les implémentations JSF suivantes : [main]
2016-07-18 13:05:29,292 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 35) WFLYJCA0004: Déploiement du pilote compatible JDCB class org.h2.Driver (version 1.3)
2016-07-18 13:05:29,296 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 39) WFLYCLINF0001: Activation du sous-système Infinispan
2016-07-18 13:05:29,350 INFO  [org.jboss.as.naming] (ServerService Thread Pool -- 50) WFLYNAM0001: Démarrage du sous-système de nommage
2016-07-18 13:05:29,356 INFO  [org.jboss.as.webservices] (ServerService Thread Pool -- 60) WFLYWS0002: Activation de l'extension WebServices
